2026-04-21 12:37:32,046 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-04-21 12:37:32,046 | WARNING | aiogram.dispatcher | Sleep for 4.826303 seconds and try again... (tryings = 25, bot id = 8514921407)
2026-04-21 12:37:36,890 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-04-21 12:37:36,890 | WARNING | aiogram.dispatcher | Sleep for 4.877251 seconds and try again... (tryings = 26, bot id = 8514921407)
2026-04-21 12:37:41,789 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-04-21 12:37:41,789 | WARNING | aiogram.dispatcher | Sleep for 5.231277 seconds and try again... (tryings = 26, bot id = 8514921407)
2026-04-21 12:37:47,038 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-04-21 12:37:47,038 | WARNING | aiogram.dispatcher | Sleep for 4.956388 seconds and try again... (tryings = 27, bot id = 8514921407)
2026-04-21 12:37:52,015 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-04-21 12:37:52,015 | WARNING | aiogram.dispatcher | Sleep for 5.005342 seconds and try again... (tryings = 27, bot id = 8514921407)
2026-04-21 12:37:57,031 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-04-21 12:37:57,031 | WARNING | aiogram.dispatcher | Sleep for 4.986078 seconds and try again... (tryings = 28, bot id = 8514921407)
2026-04-21 12:38:02,038 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-04-21 12:38:02,038 | WARNING | aiogram.dispatcher | Sleep for 4.999915 seconds and try again... (tryings = 28, bot id = 8514921407)
2026-04-21 12:38:07,050 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-04-21 12:38:07,050 | WARNING | aiogram.dispatcher | Sleep for 5.163309 seconds and try again... (tryings = 29, bot id = 8514921407)
2026-04-21 12:38:12,238 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-04-21 12:38:12,238 | WARNING | aiogram.dispatcher | Sleep for 5.136125 seconds and try again... (tryings = 29, bot id = 8514921407)
2026-04-21 12:38:17,391 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-04-21 12:38:17,391 | WARNING | aiogram.dispatcher | Sleep for 4.934204 seconds and try again... (tryings = 30, bot id = 8514921407)
2026-04-21 12:38:22,354 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-04-21 12:38:22,355 | WARNING | aiogram.dispatcher | Sleep for 5.007615 seconds and try again... (tryings = 30, bot id = 8514921407)
2026-04-21 12:38:27,378 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-04-21 12:38:27,378 | WARNING | aiogram.dispatcher | Sleep for 5.031386 seconds and try again... (tryings = 31, bot id = 8514921407)
2026-04-21 12:38:32,432 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-04-21 12:38:32,433 | WARNING | aiogram.dispatcher | Sleep for 5.074591 seconds and try again... (tryings = 31, bot id = 8514921407)
2026-04-21 12:38:37,521 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-04-21 12:38:37,521 | WARNING | aiogram.dispatcher | Sleep for 5.087230 seconds and try again... (tryings = 32, bot id = 8514921407)
